questionText,idealAnswer,answerText,qualityLabel
Explain how a hash map works.,"A hash map uses a hash function to map keys to array indices, giving average O(1) lookup, insert, and delete.","Not sure, probably indexing basically or something like that.",WEAK
Why do you want to work in product management?,"A strong answer connects personal motivation to specific experience with users, data-driven decisions, and cross-functional collaboration.",uh I guess it has something to do with recursion.,WEAK
Describe the event loop in JavaScript.,"The event loop processes the call stack, then microtasks like Promises, then macrotasks like setTimeout, enabling non-blocking async behavior.","It's basically data structures stuff, you actually know. um",WEAK
Why do you want to work in product management?,"A strong answer connects personal motivation to specific experience with users, data-driven decisions, and cross-functional collaboration.","From what I remember, indexing is involved, and it helps with collaboration. There might be more to it though.",AVERAGE
Explain how a hash map works.,"A hash map uses a hash function to map keys to array indices, giving average O(1) lookup, insert, and delete.","Not sure, probably the call stack or something you know like that.",WEAK
Tell me about a time you disagreed with a teammate.,"A strong answer describes a specific situation, the disagreement, the action taken to resolve it collaboratively, and a positive result.","I'd break this down into steps. First, recursion sets up the foundation. Then clear communication builds on that to produce the final result. This structured approach has helped me communicate technical ideas clearly in past interviews and at work.",GOOD
Describe a challenging bug you fixed.,"A strong answer explains the symptom, the debugging process used to isolate the cause, the fix, and what was learned.",I uh guess it has something to do with trade-off analysis.,WEAK
Tell me about a time you disagreed with a teammate.,"A strong answer describes a specific situation, the disagreement, the action taken to resolve it collaboratively, and a positive result.","I think it's related to indexing. It works by using data structures to get the result, but I'm not 100% sure about the details.",AVERAGE
What is database normalization?,"Normalization organizes data to reduce redundancy by splitting tables and enforcing dependencies, typically up to 3NF.","I'd break this down into steps. First, root cause analysis sets up the foundation. Then normalization builds on that to produce the final result. This structured approach has helped me communicate technical ideas clearly in past interviews and at work.",GOOD
What is the time complexity of binary search?,Binary search runs in O(log n) time because it halves the search space at each step.,"I think it's related to the call stack. It works by using the call stack to get the result, but I'm not 100% sure about the details.",AVERAGE
Explain how a hash map works.,"A hash map uses a hash function to map keys to array indices, giving average O(1) lookup, insert, and delete.","The key idea is normalization. Specifically, root cause analysis is what drives the behavior here. I'd also mention that trade-offs exist, such as when root cause analysis becomes a bottleneck, which is worth considering depending on the situation.",GOOD
Why do you want to work in product management?,"A strong answer connects personal motivation to specific experience with users, data-driven decisions, and cross-functional collaboration.","So hashing is the main idea here, and it connects to the event loop in some way, though I'd want to double check the specifics.",AVERAGE
How would you estimate the market size for electric scooters in a city?,"A strong answer structures the estimate using population, adoption rate, and usage frequency, stating assumptions clearly.","To explain clearly: hashing is the core mechanism, and it relies on the call stack to function correctly. In practice, I've seen this applied where the call stack was critical to the outcome, and understanding this helped me make better decisions.",GOOD
How would you estimate the market size for electric scooters in a city?,"A strong answer structures the estimate using population, adoption rate, and usage frequency, stating assumptions clearly.",I guess it has something to do with collaboration. I guess,WEAK
Describe a challenging bug you fixed.,"A strong answer explains the symptom, the debugging process used to isolate the cause, the fix, and what was learned.","To explain clearly: indexing is the core mechanism, and it relies on data structures to function correctly. In practice, I've seen this applied where data structures was critical to the outcome, and understanding this helped me make better decisions.",GOOD
What is database normalization?,"Normalization organizes data to reduce redundancy by splitting tables and enforcing dependencies, typically up to 3NF.","I think it's related to trade-off analysis. It works by using recursion to get the um result, but I'm not 100% sure about the details.",AVERAGE
Why do you want to work in product management?,"A strong answer connects personal motivation to specific experience with users, data-driven decisions, and cross-functional collaboration.","Um, it's um like, actually clear communication I think, not sure.",WEAK
Describe the event loop in JavaScript.,"The event loop processes the call stack, then microtasks like Promises, then macrotasks like setTimeout, enabling non-blocking async behavior.","I think it's related to recursion. It works by using data structures to get the result, but I'm not 100% sure about the details.",AVERAGE
How would you estimate the market size for electric scooters in a city?,"A strong answer structures the estimate using population, adoption rate, and usage frequency, stating assumptions clearly.","So time complexity is the main idea here, and it connects to root cause analysis in some way, though I'd want to double check the specifics.",AVERAGE
Describe a challenging bug you fixed.,"A strong answer explains the symptom, the debugging process used to isolate the cause, the fix, and what was learned.","I'd break this down into steps. First, recursion sets up the foundation. Then normalization builds on that to produce the final result. This structured approach has helped me communicate technical ideas clearly in past interviews and at work.",GOOD
Describe a challenging bug you fixed.,"A strong answer explains the symptom, the debugging process used to isolate the cause, the fix, and what was learned.","So root cause analysis is the main idea here, and it connects to collaboration in some way, though I'd want to double check the specifics. um",AVERAGE
Why do you want to work in product management?,"A strong answer connects personal motivation to specific experience with users, data-driven decisions, and cross-functional collaboration.","I'd break this down into steps. First, indexing sets up the foundation. Then trade-off analysis builds on that to produce the final result. This structured approach has helped me communicate technical ideas clearly in past interviews and at work.",GOOD
What is database normalization?,"Normalization organizes data to reduce redundancy by splitting tables and enforcing dependencies, typically up to 3NF.","I'd break this down into steps. First, hashing sets up the foundation. Then the event loop builds on that to produce the final result. This structured approach has helped me communicate technical ideas clearly in past interviews and at work.",GOOD
Explain how a hash map works.,"A hash map uses a hash function to map keys to array indices, giving average O(1) lookup, insert, and delete.","It's basically the you know event loop stuff, you know.",WEAK
Why do you want to work in product management?,"A strong answer connects personal motivation to specific experience with users, data-driven decisions, and cross-functional collaboration.","I think it's related to the call stack. It works by using root cause analysis to get the result, but I'm not 100% sure about the details.",AVERAGE
Why do you want to work in product management?,"A strong answer connects personal motivation to specific experience with users, data-driven decisions, and cross-functional collaboration.",It basically uses the call stack to solve the problem. I've used it before but don't remember every detail about root cause analysis.,AVERAGE
What is the time complexity of binary search?,Binary search runs in O(log n) time because it halves the search space at each step.,"uh Not kind of sure, probably the event loop or something like sort of that.",WEAK
Why do you want to work in product management?,"A strong answer connects personal motivation to specific experience with users, data-driven decisions, and cross-functional collaboration.",It basically uses structured thinking to solve the problem. I've used it before but don't remember every detail about the event loop.,AVERAGE
Explain how a hash map works.,"A hash map uses a hash function to map keys to array indices, giving average O(1) lookup, insert, and delete.","To explain clearly: structured thinking is the core mechanism, and it relies on trade-off analysis to function correctly. In practice, I've seen this applied where trade-off analysis was critical to the outcome, and understanding this helped me make better decisions.",GOOD
Explain how a hash map works.,"A hash map uses a hash function to map keys to array indices, giving average O(1) lookup, insert, and delete.","This works by using the event loop, which enables hashing. For example, in a real scenario, this approach ensures efficiency and correctness, and I've applied a similar approach in a past project where hashing mattered significantly.",GOOD
Describe a challenging bug you fixed.,"A strong answer explains the symptom, the debugging process used to isolate the cause, the fix, and what was learned.","I'd break this down into steps. First, structured thinking sets up the foundation. Then root cause analysis builds on that to produce the final result. This structured approach has helped me communicate technical ideas clearly in past interviews and at work.",GOOD
Tell me about a time you disagreed with a teammate.,"A strong answer describes a specific situation, the disagreement, the action taken to resolve it collaboratively, and a positive result.","Not sure, probably the call stack or you know kind of something like that. actually",WEAK
What is database normalization?,"Normalization organizes data to reduce redundancy by splitting tables and enforcing dependencies, typically up to 3NF.",I sort of guess you know it has actually something to do with recursion.,WEAK
Describe the event loop in JavaScript.,"The event loop processes the call stack, then microtasks like Promises, then macrotasks like setTimeout, enabling non-blocking async behavior.","like Um, it's like, recursion sort of I think, not sure.",WEAK
What is the time complexity of binary search?,Binary search runs in O(log n) time because it halves the search space at each step.,"I think it's related to the event loop. It works by using normalization to get the result, but I'm not 100% sure about the details.",AVERAGE
Describe the event loop in JavaScript.,"The event loop processes the call stack, then microtasks like Promises, then macrotasks like setTimeout, enabling non-blocking async behavior.","So indexing is the main idea here, and it connects to the call stack in some way, you know though I'd want to double check the specifics.",AVERAGE
What is database normalization?,"Normalization organizes data to reduce redundancy by splitting tables and enforcing dependencies, typically up to 3NF.","I think it's related to normalization. It works by using hashing to get the result, but I'm not 100% sure about the like details.",AVERAGE
Describe the event loop in JavaScript.,"The event loop processes the call stack, then microtasks like Promises, then macrotasks like setTimeout, enabling non-blocking async behavior.","This works by using recursion, which enables structured thinking. For example, in a real scenario, this approach ensures efficiency and correctness, and I've applied a similar approach in a past project where structured thinking mattered significantly.",GOOD
What is database normalization?,"Normalization organizes data to reduce redundancy by splitting tables and enforcing dependencies, typically up to 3NF.","I'd break this down into steps. First, recursion sets up the foundation. Then trade-off analysis builds on that to produce the final result. This structured approach has helped me communicate technical ideas clearly in past interviews and at work.",GOOD
Why do you want to work in product management?,"A strong answer connects personal motivation to specific experience with users, data-driven decisions, and cross-functional collaboration.",It basically uses recursion to solve the problem. I've used it before but don't remember every detail about the call stack.,AVERAGE
Describe the event loop in JavaScript.,"The event loop processes the call stack, then microtasks like Promises, then macrotasks like setTimeout, enabling non-blocking async behavior.",I guess it has something to do with I guess normalization.,WEAK
Describe a challenging bug you fixed.,"A strong answer explains the symptom, the debugging process used to isolate the cause, the fix, and what was learned.",It basically uses indexing to solve the problem. I've used it before but don't remember kind of every detail about hashing.,AVERAGE
What is database normalization?,"Normalization organizes data to reduce redundancy by splitting tables and enforcing dependencies, typically up to 3NF.","So hashing is the main idea kind of here, and it connects to normalization in some way, though I'd want to double check the specifics.",AVERAGE
What is the time complexity of binary search?,Binary search runs in O(log n) time because it halves the search space at each step.,"So normalization is the main idea here, and it connects to clear communication in some way, though I'd want to double check you know the specifics.",AVERAGE
Describe the event loop in JavaScript.,"The event loop processes the call stack, then microtasks like Promises, then macrotasks like setTimeout, enabling non-blocking async behavior.","The key idea is the event loop. Specifically, indexing is what drives the behavior here. I'd also mention that trade-offs exist, such as when indexing becomes a bottleneck, which is worth considering depending on the situation.",GOOD
How would you estimate the market size for electric scooters in a city?,"A strong answer structures the estimate using population, adoption rate, and usage frequency, stating assumptions clearly.","It's basically basically root cause analysis stuff, you know.",WEAK
What is the time complexity of binary search?,Binary search runs in O(log n) time because it halves the search space at each step.,"This works by using time complexity, which enables hashing. For example, in a real scenario, this approach ensures efficiency and correctness, and I've applied a similar approach in a past project where hashing mattered significantly.",GOOD
Explain how a hash map works.,"A hash map uses a hash function to map keys to array indices, giving average O(1) lookup, insert, and delete.",It kind of basically uses indexing to solve the problem. I've used it before but don't remember every detail about time complexity.,AVERAGE
How would you estimate the market size for electric scooters in a city?,"A strong answer structures the estimate using population, adoption rate, and usage frequency, stating assumptions clearly.","I don't really know, like maybe normalization? like",WEAK
Describe a challenging bug you fixed.,"A strong answer explains the symptom, the debugging process used to isolate the cause, the fix, and what was learned.","This works by using root cause analysis, which enables data structures. For example, in a real scenario, this approach ensures efficiency and correctness, and I've applied a similar approach in a past project where data structures mattered significantly.",GOOD
Tell me about a time you disagreed with a teammate.,"A strong answer describes a specific situation, the disagreement, the action taken to resolve it collaboratively, and a positive result.","To explain clearly: indexing is the core mechanism, and it relies on recursion to function correctly. In practice, I've seen this applied where recursion was critical to the outcome, and understanding this helped me make better decisions.",GOOD
What is the time complexity of binary search?,Binary search runs in O(log n) time because it halves the search space at each step.,"I don't kind of really know, maybe structured thinking? I guess",WEAK
What is the time complexity of binary search?,Binary search runs in O(log n) time because it halves the search space at each step.,"I'd break this down into steps. First, root cause analysis sets up the foundation. Then structured thinking builds on that to produce the final result. This structured approach has helped me communicate technical ideas clearly in past interviews and at work.",GOOD
Describe a challenging bug you fixed.,"A strong answer explains the symptom, the debugging process used to isolate the cause, the fix, and what was learned.",It basically uses collaboration to solve the problem. I've used it before but don't remember every detail about normalization.,AVERAGE
Explain how a hash map works.,"A hash map uses a hash function to map keys to array indices, giving average O(1) lookup, insert, and delete.","The key idea is trade-off analysis. Specifically, recursion is what drives the behavior here. I'd also mention that trade-offs exist, such as when recursion becomes a bottleneck, which is worth considering depending on the situation.",GOOD
Describe a challenging bug you fixed.,"A strong answer explains the symptom, the debugging process used to isolate the cause, the fix, and what was learned.","This works by using structured thinking, which enables recursion. For example, in a real scenario, this approach ensures efficiency and correctness, and I've applied a similar approach in a past project where recursion mattered significantly.",GOOD
Describe the event loop in JavaScript.,"The event loop processes the call stack, then microtasks like Promises, then macrotasks like setTimeout, enabling non-blocking async behavior.","It's basically data um structures stuff, you know.",WEAK
What is database normalization?,"Normalization organizes data to reduce redundancy by splitting tables and enforcing dependencies, typically up to 3NF.","I'd break this down into steps. First, time complexity sets up the foundation. Then the event loop builds on that to produce the final result. This structured approach has helped me communicate technical ideas clearly in past interviews and at work.",GOOD
How would you estimate the market size for electric scooters in a city?,"A strong answer structures the estimate using population, adoption rate, and usage frequency, stating assumptions clearly.","This works by using time complexity, which enables time complexity. For example, in a real scenario, this approach ensures efficiency and correctness, and I've applied a similar approach in a past project where time complexity mattered significantly.",GOOD
How would you estimate the market size for electric scooters in a city?,"A strong answer structures the estimate using population, adoption rate, and usage frequency, stating assumptions clearly.",It basically uses recursion to solve the problem. I've used it before but don't sort of remember every detail about collaboration.,AVERAGE
What is database normalization?,"Normalization organizes data to reduce redundancy by splitting tables and enforcing dependencies, typically up to 3NF.","This works by using normalization, which enables structured thinking. For example, in a real scenario, this approach ensures efficiency and correctness, and I've applied a similar approach in a past project where structured thinking mattered significantly.",GOOD
Explain how a hash map works.,"A hash map uses a hash function to map keys to array indices, giving average O(1) lookup, insert, and delete.","I don't really stuff like that know, maybe indexing? uh you know",WEAK
Tell me about a time you disagreed with a teammate.,"A strong answer describes a specific situation, the disagreement, the action taken to resolve it collaboratively, and a positive result.","It's basically root cause sort of analysis stuff, you know.",WEAK
What is database normalization?,"Normalization organizes data to reduce redundancy by splitting tables and enforcing dependencies, typically up to 3NF.","I don't really know, maybe clear actually communication?",WEAK
Describe a challenging bug you fixed.,"A strong answer explains the symptom, the debugging process used to isolate the cause, the fix, and what was learned.","Um, basically it's like, trade-off uh analysis I think, stuff like that not sure.",WEAK
Describe the event loop in JavaScript.,"The event loop processes the call stack, then microtasks like Promises, then macrotasks like setTimeout, enabling non-blocking async behavior.","The key idea is normalization. Specifically, structured thinking is what drives the behavior here. I'd also mention that trade-offs exist, such as when structured thinking becomes a bottleneck, which is worth considering depending on the situation.",GOOD
Why do you want to work in product management?,"A strong answer connects personal motivation to specific experience with users, data-driven decisions, and cross-functional collaboration.","basically Um, it's like, normalization I think, not like sure.",WEAK
Tell me about a time you disagreed with a teammate.,"A strong answer describes a specific situation, the disagreement, the action taken to resolve it collaboratively, and a positive result.","The key idea is clear communication. Specifically, hashing is what drives the behavior here. I'd also mention that trade-offs exist, such as when hashing becomes a bottleneck, which is worth considering depending on the situation.",GOOD
Why do you want to work in product management?,"A strong answer connects personal motivation to specific experience with users, data-driven decisions, and cross-functional collaboration.","So time complexity is the main idea here, and it connects to trade-off analysis in some way, though I'd want to double check the sort of specifics.",AVERAGE
Tell me about a time you disagreed with a teammate.,"A strong answer describes a specific situation, the disagreement, the action taken to resolve it collaboratively, and a positive result.","This works by using root cause analysis, which enables the event loop. For example, in a real scenario, this approach ensures efficiency and correctness, and I've applied a similar approach in a past project where the event loop mattered significantly.",GOOD
Describe a challenging bug you fixed.,"A strong answer explains the symptom, the debugging process used to isolate the cause, the fix, and what was learned.","Um, it's like, normalization kind of I guess I think, you know not sure.",WEAK
Tell me about a time you disagreed with a teammate.,"A strong answer describes a specific situation, the disagreement, the action taken to resolve it collaboratively, and a positive result.","I think it's related to normalization. It works by using the call stack to get the result, but I'm not 100% sure about the details.",AVERAGE
What is database normalization?,"Normalization organizes data to reduce redundancy by splitting tables and enforcing dependencies, typically up to 3NF.",It basically uses hashing to solve the problem. I've sort of used it before but don't remember every detail about the event loop.,AVERAGE
Explain how a hash map works.,"A hash map uses a hash function to map keys to array indices, giving average O(1) lookup, insert, and delete.","From what I remember, clear communication is involved, and it helps with collaboration. There might be more to it though.",AVERAGE
Explain how a hash map works.,"A hash map uses a hash function to map keys to array indices, giving average O(1) lookup, insert, and delete.","I don't really like know, maybe root cause analysis?",WEAK
Explain how a hash map works.,"A hash map uses a hash function to map keys to array indices, giving average O(1) lookup, insert, and delete.","Um, it's uh like, collaboration I think, not sure.",WEAK
Tell me about a time you disagreed with a teammate.,"A strong answer describes a specific situation, the disagreement, the action taken to resolve it collaboratively, and a positive result.",It basically uses root cause analysis to solve the problem. I've used it before but don't remember I guess every detail about clear communication.,AVERAGE
Tell me about a time you disagreed with a teammate.,"A strong answer describes a specific situation, the disagreement, the action taken to resolve it collaboratively, and a positive result.","I'd break this down into steps. First, data structures sets up the foundation. Then indexing builds on that to produce the final result. This structured approach has helped me communicate technical ideas clearly in past interviews and at work.",GOOD
Describe the event loop in JavaScript.,"The event loop processes the call stack, then microtasks like Promises, then macrotasks like setTimeout, enabling non-blocking async behavior.","I don't really know, I guess maybe uh stuff like that time complexity?",WEAK
Why do you want to work in product management?,"A strong answer connects personal motivation to specific experience with users, data-driven decisions, and cross-functional collaboration.","From what I remember, recursion is involved, and actually it helps with data structures. There might be more to it though.",AVERAGE
Explain how a hash map works.,"A hash map uses a hash function to map keys to array indices, giving average O(1) lookup, insert, and delete.","The key idea is trade-off analysis. Specifically, the call stack is what drives the behavior here. I'd also mention that trade-offs exist, such as when the call stack becomes a bottleneck, which is worth considering depending on the situation.",GOOD
What is the time complexity of binary search?,Binary search runs in O(log n) time because it halves the search space at each step.,"To explain clearly: indexing is the core mechanism, and it relies on the event loop to function correctly. In practice, I've seen this applied where the event loop was critical to the outcome, and understanding this helped me make better decisions.",GOOD
Describe a challenging bug you fixed.,"A strong answer explains the symptom, the debugging process used to isolate the cause, the fix, and what was learned.",uh like I guess it has something to um do with structured thinking.,WEAK
Describe the event loop in JavaScript.,"The event loop processes the call stack, then microtasks like Promises, then macrotasks like setTimeout, enabling non-blocking async behavior.",It basically uses you know collaboration to solve the problem. I've used it before but don't remember every detail about data structures.,AVERAGE
Tell me about a time you disagreed with a teammate.,"A strong answer describes a specific situation, the disagreement, the action taken to resolve it collaboratively, and a positive result.",It basically uses clear communication to solve the problem. I've used it before but don't remember every detail about collaboration.,AVERAGE
Describe a challenging bug you fixed.,"A strong answer explains the symptom, the debugging process used to isolate the cause, the fix, and what was learned.","This works by using data structures, which enables indexing. For example, in a real scenario, this approach ensures efficiency and correctness, and I've applied a similar approach in a past project where indexing mattered significantly.",GOOD
What is the time complexity of binary search?,Binary search runs in O(log n) time because it halves the search space at each step.,"Not sure, probably the call stack or sort of something like that.",WEAK
Explain how a hash map works.,"A hash map uses a hash function to map keys to array indices, giving average O(1) lookup, insert, and delete.","So the event loop is the main idea here, and it connects to clear communication in some um way, though I'd want to double check the specifics.",AVERAGE
Describe the event loop in JavaScript.,"The event loop processes the call stack, then microtasks like Promises, then macrotasks like setTimeout, enabling non-blocking async behavior.","I'd break this down into steps. First, data structures sets up the foundation. Then recursion builds on that to produce the final result. This structured approach has helped me communicate technical ideas clearly in past interviews and at work.",GOOD
Tell me about a time you disagreed with a teammate.,"A strong answer describes a specific situation, the disagreement, the action taken to resolve it collaboratively, and a positive result.","This works by using trade-off analysis, which enables root cause analysis. For example, in a real scenario, this approach ensures efficiency and correctness, and I've applied a similar approach in a past project where root cause analysis mattered significantly.",GOOD
Tell me about a time you disagreed with a teammate.,"A strong answer describes a specific situation, the disagreement, the action taken to resolve it collaboratively, and a positive result.","I think it's related to time complexity. It works by using the call stack you know to get the result, but I'm not 100% sure about the details.",AVERAGE
How would you estimate the market size for electric scooters in a city?,"A strong answer structures the estimate using population, adoption rate, and usage frequency, stating assumptions clearly.","So data structures is the main idea here, and it connects to the call stack in some way, though I'd want to double check the specifics.",AVERAGE
Describe the event loop in JavaScript.,"The event loop processes the call stack, then microtasks like Promises, then macrotasks like setTimeout, enabling non-blocking async behavior.","So indexing is the main idea here, and it connects to structured thinking in some way, though I'd want to double check the specifics.",AVERAGE
